Ohringen,Bad.Lippspringe,Eberbach.Neckar,Ebersberg.Halbing,Ebrach,Eichstatt.Landershofen,Miltenberg,Ellwangen.Rindelbach,Eppingen,Mohrendorf.Kleinseebach,Eutin,Geisenheim,Gilserberg.Moischeid,Gluckstadt,Gossweinstein,Hechingen,Weddingstedt,Kr.Dithmarschen.Helse,Niederworresbach,Hildesheim,Hollenstein.Kraftwerk,Konigsmoor,Kronach,Bad.Lauchstadt,Lensahn,Lingen,Luchow,Heinersreuth.Vollhof,Mayen,Melle
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,4,0,1,0,10,27,0,0,0,0,0,0,81,0,0,6,0,0,0,0,0,0,0,0,0,0,0
60,37,75,129,88,34,65,28,49,57,0,20,39,8,28,94,8,11,22,0,88,32,38,17,12,40,37,28,0,52
30,123,44,48,36,0,8,9,70,8,26,6,0,16,79,0,44,44,53,89,7,13,195,30,26,4,0,38,0,24
51,0,118,49,81,51,118,72,65,96,7,32,0,0,118,12,0,0,39,0,90,0,12,0,4,20,0,51,50,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,91,0,0,40,0,0,72,60,0,24,0,12,0,0,102,66,37,0,0,22
0,3,0,15,3,1,0,0,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,15,13,0,7,0,0,0
0,11,0,0,0,0,0,0,0,0,45,0,0,36,0,0,45,39,0,0,0,53,0,6,25,1,17,0,0,8
0,16,0,0,0,0,0,0,0,0,45,0,0,34,0,0,49,33,0,14,0,22,0,1,36,22,4,0,0,15
5,9,0,4,0,0,0,1,11,3,12,0,11,8,0,0,16,0,0,46,9,25,0,25,22,8,64,10,0,20
42,34,17,34,18,1,8,22,2,8,55,0,23,18,31,0,25,15,5,40,20,52,49,26,17,14,68,21,0,0
11,0,16,1,11,1,0,5,14,1,0,24,0,0,20,49,0,0,13,0,37,0,0,0,0,0,0,0,33,0
17,150,3,67,0,1,77,5,63,0,0,44,0,0,0,0,35,0,188,0,8,0,0,0,0,34,23,0,17,13
92,50,157,32,90,41,64,72,32,46,34,42,188,86,93,42,86,64,87,92,65,93,85,10,30,36,35,54,64,78
14,44,20,9,8,1,0,0,17,29,86,42,0,72,0,31,51,46,85,0,47,57,94,53,63,33,73,68,0,19
60,0,0,0,0,1,0,71,20,0,10,0,0,22,0,0,22,21,0,215,1,0,7,42,7,81,48,0,0,100
1,0,10,17,0,22,0,25,0,3,4,0,0,0,0,69,0,2,0,0,29,0,3,1,9,0,0,0,0,0
9,10,32,0,5,47,16,50,13,71,1,0,0,0,38,84,1,0,0,0,18,0,21,12,0,0,0,31,0,4
1,10,12,19,23,41,24,31,7,1,2,28,26,0,12,0,10,1,11,17,23,0,64,0,3,0,0,10,0,7
1,12,5,12,0,3,0,6,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0
1,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0
70,25,83,0,32,27,54,47,46,26,49,35,0,28,27,42,39,42,80,0,2,31,33,4,93,75,34,18,0,75
14,28,28,33,22,1,0,1,2,27,28,18,78,0,6,0,1,10,42,0,35,80,54,2,15,36,11,2,0,35
99,66,183,27,30,55,66,79,60,61,140,54,97,64,68,94,58,62,155,62,12,14,107,19,40,119,21,86,230,52
75,168,170,62,83,69,111,75,72,72,50,39,79,225,100,97,8,20,50,69,67,88,131,28,82,28,63,67,0,66
92,27,95,47,142,61,81,68,122,86,32,38,22,32,68,22,74,55,22,6,72,32,94,18,10,12,36,111,0,22
0,12,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,7,37,25,0,3,10,16,17,0,0,0
1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,2,0,0,0,7,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,13,148,0,43,1,138,54,81,95,0,17,19,15,62,98,8,1,0,100,8,0,164,12,0,1,201,104,50,0
42,0,2,39,0,14,0,10,4,63,6,0,0,88,0,29,112,60,0,49,101,66,4,0,8,1,0,8,0,0
23,0,0,3,43,1,0,4,0,18,0,0,0,0,19,0,0,0,0,0,80,0,15,13,0,0,11,25,0,0
17,25,155,261,108,98,258,334,174,26,20,6,51,16,0,216,27,95,11,3,0,0,18,1,45,0,0,1,0,0
30,300,535,131,61,85,695,229,490,3,9,313,469,4,21,233,5,10,86,59,28,0,23,5,15,273,11,4,0,301
5,17,0,0,0,0,0,0,0,0,66,0,4,64,0,0,2,11,0,37,0,176,0,0,28,90,63,0,86,57
13,27,0,18,18,1,0,6,5,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,0,3,0,3,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,36,0,0,0
0,0,0,0,0,1,0,105,0,2,0,0,0,0,0,0,3,10,0,0,0,0,0,15,0,7,27,1,0,0
16,52,0,0,15,39,0,0,0,0,4,25,81,2,11,27,5,9,32,61,12,0,11,47,4,30,0,4,65,45
0,18,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,15,0,0,5,13,28,0,0,0
21,0,8,0,0,0,0,0,9,1,5,3,13,42,0,0,22,25,7,0,0,0,0,1,4,6,37,0,0,15
30,0,0,0,0,109,0,10,0,34,7,0,5,0,0,21,33,30,0,0,127,0,0,0,0,0,0,0,11,0
8,0,0,0,0,0,0,0,133,17,0,0,13,0,92,0,0,0,0,0,52,0,0,0,0,0,0,46,0,0
285,0,44,0,117,0,53,137,194,307,0,41,10,0,86,333,0,0,12,0,52,0,90,19,1,0,0,75,37,0
52,0,11,85,87,73,101,75,26,92,3,0,0,0,0,0,0,0,3,5,120,6,2,28,8,0,42,3,0,0
0,0,0,24,0,43,0,8,0,0,13,0,0,232,0,23,97,220,0,0,3,160,0,36,5,0,353,0,0,0
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,61,0,0,40,0,0,0,0,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,24,0,0,0,1
27,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,10
160,130,30,0,0,0,0,55,65,135,0,60,0,0,71,0,0,0,0,8,0,0,26,0,9,101,43,87,45,62
25,55,16,38,39,37,31,390,48,20,30,151,2,18,39,38,10,0,102,11,0,95,39,92,0,90,52,0,0,485
0,0,65,164,134,0,31,13,56,38,135,75,6,0,100,118,2,7,25,0,30,3,75,138,60,2,37,90,94,1
83,38,39,11,32,59,25,55,11,57,0,0,43,4,100,42,0,0,6,0,58,0,8,0,0,79,23,21,41,0
19,0,20,43,41,16,5,4,33,48,0,2,0,0,33,41,0,0,0,0,50,112,1,0,0,38,17,14,0,22
0,0,0,0,0,0,0,0,0,2,35,0,0,57,0,0,47,64,0,0,0,123,2,1,31,23,0,2,0,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0
20,129,50,83,34,49,18,55,1,124,10,7,75,52,21,51,30,46,0,67,145,25,10,2,3,44,32,59,32,88
54,73,74,10,72,74,14,44,50,15,6,74,161,18,43,12,20,51,48,93,68,96,62,68,8,73,43,34,109,102
21,32,5,53,39,15,13,147,11,17,85,2,15,52,100,13,89,30,0,114,156,56,31,14,27,68,0,35,0,327
130,61,237,88,64,168,242,218,220,221,0,90,86,26,122,187,1,4,220,0,5,46,30,13,0,9,101,24,9,3
6,110,0,49,3,0,0,0,0,31,181,0,5,68,0,0,49,71,0,138,78,168,20,7,91,96,13,5,0,138
0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,3,15,0,0,0,0,0,1,0,0,147,0,0,5
36,0,34,8,3,85,7,24,143,21,0,0,205,0,0,0,0,0,85,11,0,21,0,0,0,0,13,0,0,4
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,12,2,21,4,15,0,39,0,26,20,15,0,4,265,12,6,21,30,0,8,2,5,26,5,6,0,138,0,0
0,0,0,15,0,0,0,0,0,0,27,0,0,3,0,0,43,13,0,0,0,0,0,0,7,0,63,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
